nohup: ignoring input
/home/chiara/anaconda3/envs/MGS/lib/python3.12/site-packages/torch/nn/modules/transformer.py:306: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
DEVICE: cuda
Train dataset size: 457
Test dataset size: 51
Epoch 162/500 - Loss: 0.0763
Epoch 163/500 - Loss: 0.0671
Epoch 164/500 - Loss: 0.0859
Epoch 165/500 - Loss: 0.0913
Epoch 166/500 - Loss: 0.0806
Epoch 167/500 - Loss: 0.0716
Epoch 168/500 - Loss: 0.0884
Epoch 169/500 - Loss: 0.0832
Epoch 170/500 - Loss: 0.0853
Epoch 171/500 - Loss: 0.0774
Epoch 172/500 - Loss: 0.0859
Epoch 173/500 - Loss: 0.0916
Epoch 174/500 - Loss: 0.0918
Epoch 175/500 - Loss: 0.0698
Epoch 176/500 - Loss: 0.0956
Epoch 177/500 - Loss: 0.0781
Epoch 178/500 - Loss: 0.0760
Epoch 179/500 - Loss: 0.0811
Epoch 180/500 - Loss: 0.0895
Epoch 181/500 - Loss: 0.0674
Epoch 182/500 - Loss: 0.0973
Epoch 183/500 - Loss: 0.0862
Epoch 184/500 - Loss: 0.0928
Epoch 185/500 - Loss: 0.0665
Epoch 186/500 - Loss: 0.0777
Epoch 187/500 - Loss: 0.0703
Epoch 188/500 - Loss: 0.0754
Epoch 189/500 - Loss: 0.0757
Epoch 190/500 - Loss: 0.0732
Epoch 191/500 - Loss: 0.0788
Epoch 192/500 - Loss: 0.0845
Epoch 193/500 - Loss: 0.0803
Epoch 194/500 - Loss: 0.0818
Epoch 195/500 - Loss: 0.0764
Epoch 196/500 - Loss: 0.0790
Epoch 197/500 - Loss: 0.0870
Epoch 198/500 - Loss: 0.0842
Epoch 199/500 - Loss: 0.0850
Epoch 200/500 - Loss: 0.0851
Epoch 201/500 - Loss: 0.0782
Epoch 202/500 - Loss: 0.0819
Epoch 203/500 - Loss: 0.0891
Epoch 204/500 - Loss: 0.0852
Epoch 205/500 - Loss: 0.0752
Epoch 206/500 - Loss: 0.0709
Epoch 207/500 - Loss: 0.0761
Epoch 208/500 - Loss: 0.0914
Epoch 209/500 - Loss: 0.0800
Epoch 210/500 - Loss: 0.0795
Epoch 211/500 - Loss: 0.0779
Epoch 212/500 - Loss: 0.0788
Epoch 213/500 - Loss: 0.0837
Epoch 214/500 - Loss: 0.0871
Epoch 215/500 - Loss: 0.0825
Epoch 216/500 - Loss: 0.0818
Epoch 217/500 - Loss: 0.0875
Epoch 218/500 - Loss: 0.0885
Epoch 219/500 - Loss: 0.0752
Epoch 220/500 - Loss: 0.0704
Epoch 221/500 - Loss: 0.0711
Epoch 222/500 - Loss: 0.0693
Epoch 223/500 - Loss: 0.0880
Epoch 224/500 - Loss: 0.0609
Epoch 225/500 - Loss: 0.0881
Epoch 226/500 - Loss: 0.0908
Epoch 227/500 - Loss: 0.0857
Epoch 228/500 - Loss: 0.0671
Epoch 229/500 - Loss: 0.0735
Epoch 230/500 - Loss: 0.0819
Epoch 231/500 - Loss: 0.0687
Epoch 232/500 - Loss: 0.0758
Epoch 233/500 - Loss: 0.0825
Epoch 234/500 - Loss: 0.0774
Epoch 235/500 - Loss: 0.0748
Epoch 236/500 - Loss: 0.0899
Epoch 237/500 - Loss: 0.0782
Epoch 238/500 - Loss: 0.0799
Epoch 239/500 - Loss: 0.0795
Epoch 240/500 - Loss: 0.0870
Epoch 241/500 - Loss: 0.0958
Epoch 242/500 - Loss: 0.0795
Epoch 243/500 - Loss: 0.0839
Epoch 244/500 - Loss: 0.0821
Epoch 245/500 - Loss: 0.0809
Epoch 246/500 - Loss: 0.0747
Epoch 247/500 - Loss: 0.0893
Epoch 248/500 - Loss: 0.0927
Epoch 249/500 - Loss: 0.0840
Epoch 250/500 - Loss: 0.0778
Epoch 251/500 - Loss: 0.0680
Epoch 252/500 - Loss: 0.0737
Epoch 253/500 - Loss: 0.0774
Epoch 254/500 - Loss: 0.0854
Epoch 255/500 - Loss: 0.0811
Epoch 256/500 - Loss: 0.0752
Epoch 257/500 - Loss: 0.0788
Epoch 258/500 - Loss: 0.0730
Epoch 259/500 - Loss: 0.0745
Epoch 260/500 - Loss: 0.0783
Epoch 261/500 - Loss: 0.0824
Epoch 262/500 - Loss: 0.0811
Epoch 263/500 - Loss: 0.0905
Epoch 264/500 - Loss: 0.0926
Epoch 265/500 - Loss: 0.0757
Epoch 266/500 - Loss: 0.0714
Epoch 267/500 - Loss: 0.0834
Epoch 268/500 - Loss: 0.0780
Epoch 269/500 - Loss: 0.0741
Epoch 270/500 - Loss: 0.0692
Epoch 271/500 - Loss: 0.0803
Epoch 272/500 - Loss: 0.0768
Epoch 273/500 - Loss: 0.0770
Epoch 274/500 - Loss: 0.0701
Epoch 275/500 - Loss: 0.0854
Epoch 276/500 - Loss: 0.0806
Epoch 277/500 - Loss: 0.0878
Epoch 278/500 - Loss: 0.0788
Epoch 279/500 - Loss: 0.0751
Epoch 280/500 - Loss: 0.0817
